sample,genome,taxonomy,source
SRR9162907,SRR9162907__vRhyme_unbinned_41,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162907,SRR9162907__vRhyme_unbinned_12,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162907,SRR9162907__vRhyme_unbinned_33,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162907,SRR9162907__vRhyme_unbinned_1,Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;NA;NA,marker VOG HMM searching
SRR9162907,SRR9162907__vRhyme_unbinned_36,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162907,SRR9162907__vRhyme_unbinned_23,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162907,SRR9162907__vRhyme_unbinned_26,r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;NA;NA;NA,vContact2 clustering
SRR9162907,SRR9162907__vRhyme_unbinned_31,r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;NA;NA;NA,vContact2 clustering
SRR9162907,SRR9162907__vRhyme_unbinned_34,r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;NA;NA;NA,vContact2 clustering
SRR9162907,SRR9162907__vRhyme_unbinned_40,r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;NA;NA;NA,vContact2 clustering
SRR9162907,SRR9162907__vRhyme_unbinned_7,r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;NA;NA;NA,vContact2 clustering
SRR9162904,SRR9162904__vRhyme_unbinned_11,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Riemerella phage RAP44,NCBI RefSeq viral protein searching
SRR9162904,SRR9162904__vRhyme_unbinned_62,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Winoviridae;Peternellavirus;Winogradskyella phage Peternella_1,NCBI RefSeq viral protein searching
SRR9162904,SRR9162904__vRhyme_unbinned_42,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Buhlduvirus;uncultured phage cr273_1,NCBI RefSeq viral protein searching
SRR9162904,SRR9162904__vRhyme_unbinned_41,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162904,SRR9162904__vRhyme_unbinned_48,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162904,SRR9162904__vRhyme_unbinned_3,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162904,SRR9162904__vRhyme_unbinned_33,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162904,SRR9162904__vRhyme_unbinned_25,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162904,SRR9162904__vRhyme_unbinned_5,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162904,SRR9162904__vRhyme_unbinned_47,r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;NA;NA;NA,vContact2 clustering
SRR9162900,SRR9162900__vRhyme_unbinned_32,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Afonbuvirus;uncultured phage cr35_1,NCBI RefSeq viral protein searching
SRR9162900,SRR9162900__vRhyme_unbinned_34,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162900,SRR9162900__vRhyme_unbinned_16,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162900,SRR9162900__vRhyme_unbinned_13,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162900,SRR9162900__vRhyme_unbinned_10,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162900,SRR9162900__vRhyme_unbinned_15,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162900,SRR9162900__vRhyme_unbinned_1,r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;NA;NA;NA,vContact2 clustering
SRR9162900,SRR9162900__vRhyme_unbinned_11,r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;NA;NA;NA,vContact2 clustering
SRR9162900,SRR9162900__vRhyme_unbinned_7,r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;NA;NA;NA,vContact2 clustering
SRR9162903,SRR9162903__vRhyme_unbinned_58,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Mushuvirus;Faecalibacterium phage FP_Mushu,NCBI RefSeq viral protein searching
SRR9162903,SRR9162903__vRhyme_unbinned_25,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Immutovirus;Flavobacterium phage vB_FspM_immuto_2-6A,NCBI RefSeq viral protein searching
SRR9162903,SRR9162903__vRhyme_unbinned_11,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Eponavirus;Faecalibacterium phage FP_Epona,NCBI RefSeq viral protein searching
SRR9162903,SRR9162903__vRhyme_unbinned_64,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Arawnvirus;Butyrivibrio phage Arawn,NCBI RefSeq viral protein searching
SRR9162903,SRR9162903__vRhyme_unbinned_15,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Taranisvirus;Faecalibacterium phage FP_Taranis,NCBI RefSeq viral protein searching
SRR9162903,SRR9162903__vRhyme_unbinned_1,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Mushuvirus;Faecalibacterium phage FP_Mushu,NCBI RefSeq viral protein searching
SRR9162903,SRR9162903__vRhyme_unbinned_49,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Toutatisvirus;Faecalibacterium phage FP_Toutatis,NCBI RefSeq viral protein searching
SRR9162903,SRR9162903__vRhyme_unbinned_48,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Taranisvirus;Faecalibacterium phage FP_Taranis,NCBI RefSeq viral protein searching
SRR9162903,SRR9162903__vRhyme_unbinned_32,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Brigitvirus;Faecalibacterium phage FP_Brigit,NCBI RefSeq viral protein searching
SRR9162903,SRR9162903__vRhyme_unbinned_68,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Eponavirus;Faecalibacterium phage FP_Epona,NCBI RefSeq viral protein searching
SRR9162903,SRR9162903__vRhyme_unbinned_60,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Lagaffevirus;Faecalibacterium phage FP_Lagaffe,NCBI RefSeq viral protein searching
SRR9162903,SRR9162903__vRhyme_unbinned_18,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Toutatisvirus;Faecalibacterium phage FP_Toutatis,NCBI RefSeq viral protein searching
SRR9162903,SRR9162903__vRhyme_unbinned_19,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162903,SRR9162903__vRhyme_unbinned_23,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162903,SRR9162903__vRhyme_unbinned_6,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162903,SRR9162903__vRhyme_unbinned_67,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162903,SRR9162903__vRhyme_unbinned_12,Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;NA;NA,marker VOG HMM searching
SRR9162903,SRR9162903__vRhyme_unbinned_27,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162903,SRR9162903__vRhyme_unbinned_45,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162903,SRR9162903__vRhyme_unbinned_59,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162903,SRR9162903__vRhyme_unbinned_42,Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;NA;NA,marker VOG HMM searching
SRR9162903,SRR9162903__vRhyme_bin_4,r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;NA;NA;NA,vContact2 clustering
SRR9162908,SRR9162908__vRhyme_bin_9,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Intestiviridae;Carjivirus;uncultured phage cr99_1,NCBI RefSeq viral protein searching
SRR9162908,SRR9162908__vRhyme_bin_8,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Lagaffevirus;Faecalibacterium phage FP_Lagaffe,NCBI RefSeq viral protein searching
SRR9162908,SRR9162908__vRhyme_bin_6,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Taranisvirus;Faecalibacterium phage FP_Taranis,NCBI RefSeq viral protein searching
SRR9162908,SRR9162908__vRhyme_unbinned_52,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Mushuvirus;Faecalibacterium phage FP_Mushu,NCBI RefSeq viral protein searching
SRR9162908,SRR9162908__vRhyme_unbinned_59,Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;NA;NA,marker VOG HMM searching
SRR9162908,SRR9162908__vRhyme_unbinned_31,Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;NA;NA,marker VOG HMM searching
SRR9162908,SRR9162908__vRhyme_unbinned_57,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162908,SRR9162908__vRhyme_unbinned_54,Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;NA;NA,marker VOG HMM searching
SRR9162908,SRR9162908__vRhyme_unbinned_36,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162908,SRR9162908__vRhyme_unbinned_14,r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;NA;NA;NA,vContact2 clustering
SRR9162908,SRR9162908__vRhyme_unbinned_22,r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;NA;NA;NA,vContact2 clustering
SRR9162908,SRR9162908__vRhyme_unbinned_39,r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;NA;NA;NA,vContact2 clustering
SRR9162908,SRR9162908__vRhyme_unbinned_61,r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;NA;NA;NA,vContact2 clustering
SRR9162901,SRR9162901__vRhyme_bin_6,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Steigviridae;Kahnovirus;uncultured phage cr85_1,NCBI RefSeq viral protein searching
SRR9162901,SRR9162901__vRhyme_bin_11,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Eponavirus;Faecalibacterium phage FP_Epona,NCBI RefSeq viral protein searching
SRR9162901,SRR9162901__vRhyme_unbinned_36,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Astrithrvirus;Salmonella phage astrithr,NCBI RefSeq viral protein searching
SRR9162901,SRR9162901__vRhyme_unbinned_12,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Eponavirus;Faecalibacterium phage FP_Epona,NCBI RefSeq viral protein searching
SRR9162901,SRR9162901__vRhyme_unbinned_17,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162901,SRR9162901__vRhyme_unbinned_11,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162901,SRR9162901__vRhyme_unbinned_56,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162901,SRR9162901__vRhyme_bin_1,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162901,SRR9162901__vRhyme_unbinned_32,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162901,SRR9162901__vRhyme_bin_5,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162901,SRR9162901__vRhyme_unbinned_6,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162901,SRR9162901__vRhyme_bin_13,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162901,SRR9162901__vRhyme_unbinned_49,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_bin_8,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Steigviridae;Lebriduvirus;uncultured phage cr18_1,NCBI RefSeq viral protein searching
SRR9161510,SRR9161510__vRhyme_unbinned_80,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Intestiviridae;Carjivirus;uncultured phage cr99_1,NCBI RefSeq viral protein searching
SRR9161510,SRR9161510__vRhyme_unbinned_65,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Vedamuthuvirus;Lactococcus phage Q33,NCBI RefSeq viral protein searching
SRR9161510,SRR9161510__vRhyme_unbinned_81,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Lagaffevirus;Faecalibacterium phage FP_Lagaffe,NCBI RefSeq viral protein searching
SRR9161510,SRR9161510__vRhyme_unbinned_45,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Oengusvirus;Faecalibacterium phage FP_oengus,NCBI RefSeq viral protein searching
SRR9161510,SRR9161510__vRhyme_unbinned_27,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Eponavirus;Faecalibacterium phage FP_Epona,NCBI RefSeq viral protein searching
SRR9161510,SRR9161510__vRhyme_unbinned_25,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Intestiviridae;Jahgtovirus;Bacteroides phage crAss002,NCBI RefSeq viral protein searching
SRR9161510,SRR9161510__vRhyme_unbinned_36,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Lagaffevirus;Faecalibacterium phage FP_Lagaffe,NCBI RefSeq viral protein searching
SRR9161510,SRR9161510__vRhyme_unbinned_99,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Intestiviridae;Carjivirus;uncultured phage cr99_1,NCBI RefSeq viral protein searching
SRR9161510,SRR9161510__vRhyme_unbinned_6,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Lughvirus;Faecalibacterium phage FP_Lugh,NCBI RefSeq viral protein searching
SRR9161510,SRR9161510__vRhyme_unbinned_100,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Intestiviridae;Carjivirus;uncultured phage cr99_1,NCBI RefSeq viral protein searching
SRR9161510,SRR9161510__vRhyme_unbinned_57,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Crevaviridae;Kingevirus;uncultured phage cr13_1,NCBI RefSeq viral protein searching
SRR9161510,SRR9161510__vRhyme_unbinned_28,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Astrithrvirus;Salmonella phage astrithr,NCBI RefSeq viral protein searching
SRR9161510,SRR9161510__vRhyme_unbinned_16,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Crevaviridae;Kingevirus;uncultured phage cr13_1,NCBI RefSeq viral protein searching
SRR9161510,SRR9161510__vRhyme_unbinned_48,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Crevaviridae;Junduvirus;uncultured phage cr25_1,NCBI RefSeq viral protein searching
SRR9161510,SRR9161510__vRhyme_unbinned_69,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Oengusvirus;Faecalibacterium phage FP_oengus,NCBI RefSeq viral protein searching
SRR9161510,SRR9161510__vRhyme_unbinned_51,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Steigviridae;Pipoluvirus;uncultured phage cr108_1,NCBI RefSeq viral protein searching
SRR9161510,SRR9161510__vRhyme_unbinned_72,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_49,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_77,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_52,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_59,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_64,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_89,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_7,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_14,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_70,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_90,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_23,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_101,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_82,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_73,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_102,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_66,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_30,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_40,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_46,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_78,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_63,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_54,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_84,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_15,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_bin_3,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_37,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_20,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_10,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_41,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_91,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_18,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_68,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_34,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9161510,SRR9161510__vRhyme_unbinned_39,r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;NA;NA;NA,vContact2 clustering
SRR9161510,SRR9161510__vRhyme_unbinned_44,r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;NA;NA;NA,vContact2 clustering
SRR9161509,SRR9161509__vRhyme_unbinned_228,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Taranisvirus;Faecalibacterium phage FP_Taranis,NCBI RefSeq viral protein searching
SRR9161509,SRR9161509__vRhyme_unbinned_282,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Lagaffevirus;Faecalibacterium phage FP_Lagaffe,NCBI RefSeq viral protein searching
