gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
EGNDLYYE_CDS_0011	6830	7441	+	vRhyme_unbinned_566__Ga0485184_000256	-532.2221666756741	22896	54.0	0.297	4.745e-10	NC_021540_p65	8443	81.477486	1.2686755165417038e-22	No_custom_HMM	No_custom_HMM	No_custom_HMM	22896	PHANOTATE	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0012	7438	7581	+	vRhyme_unbinned_566__Ga0485184_000256	-7.792123991585641	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0013	7574	7885	+	vRhyme_unbinned_566__Ga0485184_000256	-144.26368239652868	7802	64.0	0.424	5.956e-16	NC_020854_p5	7802	61.324799	1.8973168089559023e-16	No_custom_HMM	No_custom_HMM	No_custom_HMM	7802	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0014	7885	8037	+	vRhyme_unbinned_566__Ga0485184_000256	-3.511982508936516	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0015	8064	8348	+	vRhyme_unbinned_566__Ga0485184_000256	-20.372079573153425	7802	56.0	0.388	2.432e-13	NC_020854_p5	7802	49.238979	1.1010201861500162e-12	No_custom_HMM	No_custom_HMM	No_custom_HMM	7802	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0016	8355	9719	+	vRhyme_unbinned_566__Ga0485184_000256	-273089.2184646924	13144	150.0	0.263	6.341999999999999e-41	NC_007808_p51	13144	224.011917	6.386988061498569e-66	No_custom_HMM	No_custom_HMM	No_custom_HMM	13144	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0017	9729	10631	+	vRhyme_unbinned_566__Ga0485184_000256	-225.7104197222249	18345	42.0	0.245	2.885e-06	NC_025456_p36	18345	32.642776	5.274114615693597e-08	No_custom_HMM	No_custom_HMM	No_custom_HMM	18345	PHANOTATE	CDS	#07e9a2	tail fiber protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0018	10714	11496	+	vRhyme_unbinned_566__Ga0485184_000256	-242.30893734273977	8865	62.0	0.356	1.89e-13	p120114 VI_06626	8865	94.820534	1.467747314628629e-26	No_custom_HMM	No_custom_HMM	No_custom_HMM	8865	PHANOTATE	CDS	#3e83f6	head scaffolding protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0019	11545	12726	+	vRhyme_unbinned_566__Ga0485184_000256	-40581.36441229888	283	209.0	0.336	3.05e-61	p309473 VI_09305	283	252.910614	1.262631090353318e-74	No_custom_HMM	No_custom_HMM	No_custom_HMM	283	PHANOTATE	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0020	12755	13153	+	vRhyme_unbinned_566__Ga0485184_000256	-295.93330198450184	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0021	13209	13529	+	vRhyme_unbinned_566__Ga0485184_000256	-9.233233287244545	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0022	13563	13739	+	vRhyme_unbinned_566__Ga0485184_000256	-5.061883138021642	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0023	13739	14452	+	vRhyme_unbinned_566__Ga0485184_000256	-1747.6320083851797	12985	96.0	0.284	4.528e-25	p309471 VI_09305	12985	166.492981	1.6764125000679474e-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	12985	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0024	14452	16140	+	vRhyme_unbinned_566__Ga0485184_000256	-59277776.35444344	578	389.0	0.411	3.8880000000000005e-122	p309470 VI_09305	578	432.789459	2.7652704094305895e-129	No_custom_HMM	No_custom_HMM	No_custom_HMM	578	PHANOTATE	CDS	#35d7ff	head closure Hc3	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0025	16133	17320	+	vRhyme_unbinned_566__Ga0485184_000256	-81914.68376210317	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0026	17322	18122	+	vRhyme_unbinned_566__Ga0485184_000256	-373.3705724728613	26190	45.0	0.493	3.553e-08	p259938 VI_11166	26190	42.820286	7.541120811500198e-11	No_custom_HMM	No_custom_HMM	No_custom_HMM	26190	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0027	18122	18778	+	vRhyme_unbinned_566__Ga0485184_000256	-41.45748236617125	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0028	18788	19123	+	vRhyme_unbinned_566__Ga0485184_000256	-24.359829694214252	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0029	19210	19578	+	vRhyme_unbinned_566__Ga0485184_000256	-195.21454149143577	1249	58.0	0.339	2.007e-13	NC_028770_p48	1249	84.713615	1.2527438434122104e-23	No_custom_HMM	No_custom_HMM	No_custom_HMM	1249	PHANOTATE	CDS	#838383	acetyltransferase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0030	19579	20313	+	vRhyme_unbinned_566__Ga0485184_000256	-121.27364041800186	598	85.0	0.291	1.32e-21	p309468 VI_09305	598	109.032928	5.560256145053289e-31	No_custom_HMM	No_custom_HMM	No_custom_HMM	598	PHANOTATE	CDS	#ffdf59	DNA ejection	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0031	20316	21578	+	vRhyme_unbinned_566__Ga0485184_000256	-2845.6549957541706	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0032	21582	23309	+	vRhyme_unbinned_566__Ga0485184_000256	-6113.952484108082	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0033	23309	23443	+	vRhyme_unbinned_566__Ga0485184_000256	-3.883442107197368	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0034	23436	23672	+	vRhyme_unbinned_566__Ga0485184_000256	-21.735553661862824	462	41.0	0.325	2.201e-08	p335965 VI_07361	462	36.301983	9.897868500417566e-09	No_custom_HMM	No_custom_HMM	No_custom_HMM	462	PHANOTATE	CDS	#838383	lipoprotein	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0035	23669	24082	+	vRhyme_unbinned_566__Ga0485184_000256	-106.47048527656192	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0036	24079	24564	+	vRhyme_unbinned_566__Ga0485184_000256	-703.750221526507	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	6637	72.486641	7.688019245275392e-20	No_custom_HMM	No_custom_HMM	No_custom_HMM	6637	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0037	24561	25046	+	vRhyme_unbinned_566__Ga0485184_000256	-9.71251636434083	7	106.0	0.38	1.855e-28	NC_001629_p14	7	165.070953	4.276328615722752e-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	7	PHANOTATE	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0038	25124	25420	+	vRhyme_unbinned_566__Ga0485184_000256	-14.751639965399546	1233	41.0	0.347	4.996e-08	p367521 VI_04587	1233	37.154572	3.6992248704545295e-09	No_custom_HMM	No_custom_HMM	No_custom_HMM	1233	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0039	25511	26488	+	vRhyme_unbinned_566__Ga0485184_000256	-29799.473864526324	7339	98.0	0.343	1.142e-25	NC_022774_p29	7339	160.352921	1.0699153585782152e-46	No_custom_HMM	No_custom_HMM	No_custom_HMM	7339	PHANOTATE	CDS	#ffdf59	DNA repair exonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0040	26974	26657	-	vRhyme_unbinned_566__Ga0485184_000256	-12.929394733589012	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0041	27279	26929	-	vRhyme_unbinned_566__Ga0485184_000256	-16.540538626427573	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0042	27893	27276	-	vRhyme_unbinned_566__Ga0485184_000256	-448.1868660577324	16528	102.0	0.771	9.890999999999999e-29	p228771 VI_05733	26324	92.908035	5.407708776153441e-26	No_custom_HMM	No_custom_HMM	No_custom_HMM	16528	PHANOTATE	CDS	#838383	DNA methyltransferase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0043	28545	28090	-	vRhyme_unbinned_566__Ga0485184_000256	-75.3967203163593	16143	43.0	0.336	2.556e-08	KY705251_p40	16143	32.736588	8.89175640750221e-08	No_custom_HMM	No_custom_HMM	No_custom_HMM	16143	PHANOTATE	CDS	#838383	DNA methyltransferase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0044	28598	29092	+	vRhyme_unbinned_566__Ga0485184_000256	-18.52550257030021	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0045	29061	29174	+	vRhyme_unbinned_566__Ga0485184_000256	-1.1051082890836352	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0046	29190	29780	+	vRhyme_unbinned_566__Ga0485184_000256	-796.5155086674824	21649	94.0	0.395	1.8109999999999998e-23	KY092484_p36	155	123.898521	1.9665667775638002e-35	No_custom_HMM	No_custom_HMM	No_custom_HMM	21649	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0047	29777	30001	+	vRhyme_unbinned_566__Ga0485184_000256	-31.269061963078528	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0048	30001	30624	+	vRhyme_unbinned_566__Ga0485184_000256	-2792.1335531270497	149	241.0	0.615	1.3109999999999999e-75	p35323 VI_03424	149	166.183914	2.5906958289434916e-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	149	PHANOTATE	CDS	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0049	30621	30923	+	vRhyme_unbinned_566__Ga0485184_000256	-146.87442413170493	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0050	31001	31234	+	vRhyme_unbinned_566__Ga0485184_000256	-9.839916069156436	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0051	31231	31485	+	vRhyme_unbinned_566__Ga0485184_000256	-29.7603677764216	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0052	31482	31808	+	vRhyme_unbinned_566__Ga0485184_000256	-51.11042437286404	5086	92.0	0.478	1.0210000000000001e-25	KX987158_p21	5086	98.448868	5.216807661276748e-28	No_custom_HMM	No_custom_HMM	No_custom_HMM	5086	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0053	31805	31963	+	vRhyme_unbinned_566__Ga0485184_000256	-35.379210356810155	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0054	31960	32259	+	vRhyme_unbinned_566__Ga0485184_000256	-30.50164246435392	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0055	32295	32516	+	vRhyme_unbinned_566__Ga0485184_000256	-15.516150958374656	4973	55.0	0.432	1.595e-13	NC_018452_p18	4973	65.0905	1.2901222220009078e-17	No_custom_HMM	No_custom_HMM	No_custom_HMM	4973	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0056	32607	33914	+	vRhyme_unbinned_566__Ga0485184_000256	-32947.82687516691	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	1156	56.923126	2.8181081672120913e-15	No_custom_HMM	No_custom_HMM	No_custom_HMM	1156	PHANOTATE	CDS	#ffdf59	DNA primase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0057	34178	34002	-	vRhyme_unbinned_566__Ga0485184_000256	-5.834628581382677	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0058	34300	34172	-	vRhyme_unbinned_566__Ga0485184_000256	-3.26582650385334	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0059	34512	34297	-	vRhyme_unbinned_566__Ga0485184_000256	-59.891208069777846	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0060	34763	34509	-	vRhyme_unbinned_566__Ga0485184_000256	-16.301438853082978	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0061	35539	34760	-	vRhyme_unbinned_566__Ga0485184_000256	-1029.421688657858	1617	188.0	0.436	1.387e-55	NC_023562_p88	1617	221.281448	2.5496670478447635e-65	No_custom_HMM	No_custom_HMM	No_custom_HMM	1617	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0062	35666	35553	-	vRhyme_unbinned_566__Ga0485184_000256	-2.5494979925449126	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
